time,EAST,WEST,NORTH,SOUTH
1.000000000000,-34777.28040717476,6212.364586901296,17421.97640456210,-9693.429003284056
32.00000000000,-34508.24176110923,6363.316749907632,17572.83999684444,-9487.079654375551
61.00000000000,-34204.57594591977,6300.560998800059,17485.62667003192,-9557.938536001337
92.00000000000,-34234.77596412542,5908.645867932247,17351.38066032842,-9853.127092628807
122.0000000000,-34721.88921340078,5359.082083778221,17203.87807290011,-10100.99073234743
153.0000000000,-35609.75195164762,5478.587868066478,17177.62537598214,-10051.75251306002
183.0000000000,-35249.03628397845,8009.599413167175,17620.78328721514,-9402.035591923377
214.0000000000,-34495.96784516093,9007.179903634464,17046.90730572039,-9495.269851991869
245.0000000000,-33940.84536231220,6967.967855307412,16874.23272695994,-9555.945391992100
275.0000000000,-33586.71648956893,5490.915428577293,16728.86081270381,-9609.342573016374
306.0000000000,-33386.28875293662,4795.528721979622,16653.18819233353,-9663.840535897754
336.0000000000,-33274.92266029879,5088.609781263556,16615.04096711550,-9691.355643395762
367.0000000000,-33166.65470048409,5182.124716423380,16594.91584286642,-9715.018119170049
