parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom,pname,inst,ptype,pstyle,i,j,zone,x,y,parval1_trans,parlbnd_trans,parubnd_trans
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:0_j:4_x:2250.00_y:10250.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,npf,2,gr,m,0,4,,2250.00,10250.00,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:0_j:5_x:2750.00_y:10250.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,npf,2,gr,m,0,5,,2750.00,10250.00,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:0_j:6_x:3250.00_y:10250.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,npf,2,gr,m,0,6,,3250.00,10250.00,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:0_j:7_x:3750.00_y:10250.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,npf,2,gr,m,0,7,,3750.00,10250.00,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:0_j:8_x:4250.00_y:10250.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,npf,2,gr,m,0,8,,4250.00,10250.00,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:1_j:0_x:250.00_y:9750.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,npf,2,gr,m,1,0,,250.00,9750.00,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:1_j:1_x:750.00_y:9750.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,npf,2,gr,m,1,1,,750.00,9750.00,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:1_j:2_x:1250.00_y:9750.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,npf,2,gr,m,1,2,,1250.00,9750.00,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:1_j:3_x:1750.00_y:9750.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,npf,2,gr,m,1,3,,1750.00,9750.00,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:1_j:4_x:2250.00_y:9750.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,npf,2,gr,m,1,4,,2250.00,9750.00,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:1_j:5_x:2750.00_y:9750.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,npf,2,gr,m,1,5,,2750.00,9750.00,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:1_j:6_x:3250.00_y:9750.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,npf,2,gr,m,1,6,,3250.00,9750.00,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:1_j:7_x:3750.00_y:9750.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,npf,2,gr,m,1,7,,3750.00,9750.00,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:1_j:8_x:4250.00_y:9750.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,npf,2,gr,m,1,8,,4250.00,9750.00,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:2_j:0_x:250.00_y:9250.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,npf,2,gr,m,2,0,,250.00,9250.00,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:2_j:1_x:750.00_y:9250.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,npf,2,gr,m,2,1,,750.00,9250.00,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:2_j:2_x:1250.00_y:9250.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,npf,2,gr,m,2,2,,1250.00,9250.00,0.0,-0.3010299956639812,0.3010299956639812
