iteration,total_runs,mean,standard_deviation,min,max,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,base
0,200,1188.83,1727.52,0,9353.73,1252.78,589.564,92.8201,68.4272,50.6644,30.7438,269.757,750.246,995.769,3855.82,3647.88,428.546,481.28,52.9071,3194.46,60.3053,3.78533,589.043,281.03,9178.99,1194.03,175.318,500.008,774.343,567.052,2121.8,1899.76,22.6923,433.163,8089.91,110.006,5.96599,1079.95,5289.49,3205.52,2290.81,944.976,5156.96,157.92,1349.6,61.6518,2716.46,1557.13,115.221,55.5864,811.191,1118.25,24.0558,5369.32,656.969,23.9687,30.024,1631.37,625.202,81.2998,1978.76,8255.63,2488.91,2036.46,2810.9,36.5769,4175.41,297.593,607.687,275.771,5.25627,26.6133,1012.76,4740.12,117.463,1395.41,156.492,4.61813,3902.35,1360.05,439.461,432.926,65.2564,457.112,1798.79,3275.6,511.697,3471.41,3250.05,5301.62,3271.35,113.871,164.526,1207.6,575.936,1725.52,523.298,148.58,663.209,38.3866,109.904,1952.71,461.388,365.069,403.819,275.805,1198.73,2.33433,364.165,738.555,252.956,91.2482,401.153,64.4746,4160.99,2108.7,31.8278,2324.33,79.2968,121.666,289.424,1052.9,121.842,3622.56,142.923,1188,1038.96,1986.76,1760.46,285.892,3172.18,929.994,261.388,1937.09,355.854,56.0599,9353.73,83.6144,1086.5,3.90034,210.576,503.124,297.655,94.3759,1.28872,33.3229,521.629,676.539,8864.26,2009.85,268.749,4526.16,474.78,79.9496,726.994,813.414,300.513,24.9882,471.363,803.431,1584.61,28.5784,1989.9,134.869,1366.8,113.897,2634.04,2962.76,70.2241,534.65,20.7904,827.428,169.376,69.392,1057.77,421.121,19.2871,66.6823,4.39163,210.743,1587.14,443.878,220.264,234.485,3217.5,1950.51,806.795,40.0532,175.003,22.4978,663.993,235.748,188.882,1357.56,774.714,855.716,1179.48,98.732,147.74,861.923,305.86,1057.06,1754.72,113.742,0
1,432,90.739,189.567,0,1325.21,33.7362,21.3138,9.71712,2.72333,8.0124,4.5986,8.10749,27.8973,121.315,41.0638,31.3843,33.8909,52.677,1.37311,63.7089,4.84092,2.35474,72.3806,31.5365,17.3301,42.8341,10.3214,45.1057,119.719,62.7796,71.9827,315.253,0.819473,70.4552,35.4822,13.723,1.5842,153.404,39.6046,749.157,475.363,144.273,50.8878,10.7633,37.1652,10.1667,65.7193,266.784,9.22197,7.44876,137.256,169.588,1.10319,70.4873,14.1791,1.56617,6.64797,33.8578,39.8975,2.60336,49.2682,20.0174,524.692,384.075,49.9543,1.51899,44.9033,33.6195,78.6432,48.8149,1.98709,5.54689,27.6364,40.3804,4.63291,33.6352,19.5695,0.259822,38.62,232.012,57.8759,61.5327,10.2782,32.3662,331.205,27.8666,19.7604,54.9934,38.8113,59.192,32.7938,17.7902,17.6781,212.544,36.3652,347.004,22.2613,20.1961,89.4229,1.75412,7.52947,38.462,34.6892,32.6436,39.2386,33.1407,39.4523,0.572274,37.4598,43.2112,11.7115,6.21336,22.7446,5.91243,1151.63,438.448,4.07937,460.255,5.37135,3.47239,32.3373,38.7367,16.0849,950.982,11.3975,23.836,132.35,64.8829,347.735,16.1525,797.212,183.476,10.4383,396.408,5.28945,1.91432,16.7708,6.66465,184.906,0.831491,7.23761,8.85028,24.3755,6.96868,1.65837,3.5291,42.8557,71.0757,31.639,428.132,36.6945,1325.21,25.8765,3.46079,66.1133,16.2542,53.3215,2.48103,43.6361,110.332,32.0425,3.28377,34.5719,9.42191,45.2952,6.53509,597.653,715.413,8.73227,62.0185,1.21141,30.568,13.5233,4.45313,34.2302,28.8045,0.269336,7.22601,0.159301,8.67479,311.839,55.9756,17.8567,19.4056,32.1482,447.137,146.657,6.22732,16.0367,5.03084,22.2744,16.1333,9.76667,41.1417,83.1238,109.36,26.6034,9.56032,15.5396,41.0613,19.7577,17.7666,49.2194,11.1033,0
2,664,2.73237,2.95796,0,16.9181,0.691759,0.440297,3.26428,1.62992,2.75233,2.4612,1.27565,0.922996,3.44832,1.26501,4.19401,5.85065,0.991745,2.94076,2.09733,0.13214,2.06894,3.60424,0.309576,0.242605,0.963027,2.82912,8.94325,1.55636,1.34715,3.47157,6.44822,0.56519,3.47019,1.31808,2.74576,0.793244,0.443458,2.14188,4.08171,0.940297,0.235243,1.61332,0.975446,0.660768,5.33638,1.30262,4.96826,0.543098,1.66931,10.7379,1.43906,0.759033,4.11875,4.90874,0.0724303,1.84912,2.25671,3.78944,1.28693,2.27308,0.713583,0.692215,0.582062,1.0641,3.81884,2.06803,0.0138784,0.0674678,5.44104,1.99764,1.84828,1.99931,0.570812,0.144966,1.22283,3.47283,0.371808,2.02234,1.08113,0.394467,2.48119,1.47159,0.388639,0.352039,6.79342,1.75938,2.09162,4.98684,3.81024,5.61553,4.38191,0.468509,2.90886,1.81215,5.62104,0.266911,2.47259,0.0306049,0.979102,0.433949,0.897973,4.72841,0.992388,0.903555,1.00652,2.68571,0.213399,8.01393,3.74239,7.33458,1.11513,5.11008,2.21052,9.98358,3.06156,0.697657,3.02421,0.534797,2.2203,3.19746,1.51074,0.749208,9.6725,1.1282,3.40706,2.74345,0.525957,1.62036,8.99128,13.4615,14.5244,0.608453,2.86752,7.60821,0.849547,9.6807,0.19689,2.5369,4.16267,2.4657,5.9026,1.04185,0.109076,1.81734,0.801087,6.12479,3.22719,0.846876,6.75634,0.932509,12.9979,1.11676,1.20925,8.57107,4.79313,5.85483,1.36052,2.6228,0.201817,2.3239,1.71126,3.20468,0.147674,0.133231,1.83997,6.23503,11.4209,1.40278,0.652259,4.78643,0.0966988,3.48311,0.663419,2.02258,0.0287872,2.18857,1.91083,0.517141,2.26958,6.08787,0.223338,0.193096,0.809612,4.84731,16.9181,9.77393,0.937676,0.909189,1.51642,0.488859,0.97001,0.127414,0.301714,4.97384,3.25937,3.28919,1.3982,0.281343,1.775,0.601542,8.24037,0.124556,1.9624,0
